2025-12-19 16:48:12.502045: Alert #1, Risk: 90
2025-12-19 16:48:12.565607: Alert #1, Risk: 90
2025-12-19 16:48:12.629028: Alert #1, Risk: 94
2025-12-19 16:48:12.691181: Alert #1, Risk: 92
2025-12-19 16:48:12.754285: Alert #1, Risk: 92
2025-12-19 16:48:12.817952: Alert #1, Risk: 92
2025-12-19 16:48:12.882042: Alert #1, Risk: 82
2025-12-19 16:48:12.944238: Alert #1, Risk: 82
2025-12-19 16:48:13.007792: Alert #1, Risk: 82
2025-12-19 16:48:13.072050: Alert #1, Risk: 92
2025-12-19 16:48:13.135570: Alert #1, Risk: 98
2025-12-19 16:48:13.198941: Alert #1, Risk: 100
2025-12-19 16:48:13.261099: Alert #1, Risk: 98
2025-12-19 16:48:13.323051: Alert #1, Risk: 98
2025-12-19 16:48:13.385710: Alert #1, Risk: 100
2025-12-19 16:48:13.447917: Alert #1, Risk: 100
2025-12-19 16:48:13.510898: Alert #1, Risk: 100
2025-12-19 16:48:13.574773: Alert #1, Risk: 98
2025-12-19 16:48:13.637027: Alert #1, Risk: 100
2025-12-19 16:48:13.701327: Alert #1, Risk: 86
2025-12-19 16:48:13.765257: Alert #1, Risk: 86
2025-12-19 16:48:13.828765: Alert #1, Risk: 86
2025-12-19 16:48:13.891638: Alert #1, Risk: 86
2025-12-19 16:48:13.955119: Alert #1, Risk: 84
2025-12-19 16:48:14.018160: Alert #1, Risk: 84
2025-12-19 16:48:14.080310: Alert #1, Risk: 84
2025-12-19 16:48:14.143311: Alert #1, Risk: 84
2025-12-19 16:48:14.207267: Alert #1, Risk: 84
2025-12-19 16:48:14.270980: Alert #1, Risk: 84
2025-12-19 16:48:14.333532: Alert #1, Risk: 84
2025-12-19 16:48:14.397862: Alert #1, Risk: 84
2025-12-19 16:48:14.463110: Alert #1, Risk: 84
2025-12-19 16:48:14.529228: Alert #1, Risk: 84
2025-12-19 16:48:14.594117: Alert #1, Risk: 78
2025-12-19 16:48:14.660382: Alert #1, Risk: 80
2025-12-19 16:48:14.725143: Alert #1, Risk: 86
2025-12-19 16:48:14.790724: Alert #1, Risk: 86
2025-12-19 16:48:14.856691: Alert #1, Risk: 80
2025-12-19 16:48:15.552973: Alert #1, Risk: 78
2025-12-19 16:48:15.616208: Alert #2, Risk: 78
2025-12-19 16:48:15.679159: Alert #2, Risk: 80
2025-12-19 16:48:15.742944: Alert #2, Risk: 80
2025-12-19 16:48:16.184350: Alert #2, Risk: 80
2025-12-19 16:48:16.247199: Alert #2, Risk: 84
2025-12-19 16:48:16.311562: Alert #2, Risk: 82
2025-12-19 16:48:16.375261: Alert #2, Risk: 90
2025-12-19 16:48:16.438755: Alert #2, Risk: 90
2025-12-19 16:48:16.501891: Alert #2, Risk: 88
2025-12-19 16:48:16.564379: Alert #2, Risk: 88
2025-12-19 16:48:16.627540: Alert #2, Risk: 86
2025-12-19 16:48:16.690672: Alert #2, Risk: 92
2025-12-19 16:48:16.753789: Alert #2, Risk: 92
2025-12-19 16:48:16.822194: Alert #2, Risk: 92
2025-12-19 16:48:16.884854: Alert #2, Risk: 92
2025-12-19 16:48:16.948198: Alert #2, Risk: 88
2025-12-19 16:48:17.011877: Alert #2, Risk: 94
2025-12-19 16:48:17.074622: Alert #2, Risk: 94
2025-12-19 16:48:17.137664: Alert #2, Risk: 94
2025-12-19 16:48:17.200859: Alert #2, Risk: 94
2025-12-19 16:48:17.262708: Alert #2, Risk: 92
2025-12-19 16:48:17.328393: Alert #2, Risk: 90
2025-12-19 16:48:17.391742: Alert #2, Risk: 92
